ID,DataTime,Guid,CustomerConsumeID,CustomerConsumeNum,ObjectType,ObjectID,ObjectName,Brand,Fit,Spec,StockID,StockName,UnitPrice,Qty,Discount,TotalPrice,Frequency,DetailType,CarOwnerPackagesID,BranchStoreID,License
37,2017/05/20 16:36:17,b7b78b365d324b0c802ea7790111a2a7,8,KHXS20170520001001,Article,30325,火花塞,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
45,2017/05/20 17:00:44,544c484c2880402f84c7a77901185a4d,10,KHXS20170520001003,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
46,2017/05/20 17:00:44,b0e22b885969491d98c1a77901185a4d,10,KHXS20170520001003,Article,30316,空调滤,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
47,2017/05/20 17:00:44,400c952d6d964f9b8937a77901185a4d,10,KHXS20170520001003,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
48,2017/05/20 17:10:54,ec88dfc819e045ec8ebfa779011b24ff,11,KHXS20170520001004,Article,30325,火花塞,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
49,2017/05/20 17:10:54,33f1c97618614f9a911da779011b24ff,11,KHXS20170520001004,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
50,2017/05/20 17:10:54,0f8917df2f7b4d998da1a779011b24ff,11,KHXS20170520001004,Article,30318,机油9千,,,,0,,380,1,100,380,0,,0,1,91371100MA3DDG6A9X
51,2017/05/20 17:22:39,0dc34e9c87cd46f99620a779011e5ef7,12,KHXS20170520001005,Article,30324,大灯,,,,0,,640,1,100,640,0,,0,1,91371100MA3DDG6A9X
52,2017/05/20 17:22:39,e7280629307d4321b00aa779011e5ef7,12,KHXS20170520001005,Article,30311,机油4千,,,,0,,170,1,100,170,0,,0,1,91371100MA3DDG6A9X
53,2017/05/20 17:22:39,54af178ccd0142ddafada779011e5ef7,12,KHXS20170520001005,Article,30318,机油9千,,,,0,,380,1,100,380,0,,0,1,91371100MA3DDG6A9X
76,2017/05/22 15:31:47,bba5d3bcee214522882da77b00ffec55,18,KHXS20170522001006,Article,30324,大灯,,,,0,,640,1,100,640,0,,0,1,91371100MA3DDG6A9X
77,2017/05/22 15:31:47,cded260f86af408793cea77b00ffec55,18,KHXS20170522001006,Article,30323,拆装工时,,,,0,,200,1,100,200,0,,0,1,91371100MA3DDG6A9X
78,2017/05/22 15:31:47,ddb4997790f44afa8955a77b00ffec55,18,KHXS20170522001006,Article,30322,前杠喷漆,,,,0,,300,1,100,300,0,,0,1,91371100MA3DDG6A9X
79,2017/05/22 15:31:47,f10ee764e6eb4e6fa476a77b00ffec55,18,KHXS20170522001006,Article,30321,前杠,,,,0,,900,1,100,900,0,,0,1,91371100MA3DDG6A9X
80,2017/05/22 15:32:05,3e03d7c6f432419a8bb5a77b01000101,16,KHXS20170522001004,Article,30329,耐可力,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
81,2017/05/22 15:32:05,cd820ec57e9548d1b693a77b01000101,16,KHXS20170522001004,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
82,2017/05/22 15:32:05,2b75b4749a6d4e129b54a77b01000101,16,KHXS20170522001004,Article,30311,机油4千,,,,0,,170,1,100,170,0,,0,1,91371100MA3DDG6A9X
83,2017/05/22 15:32:23,5c5366c52ea749348cd1a77b0100160f,15,KHXS20170522001003,Article,30332,防冻液,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
84,2017/05/22 15:32:23,d72a81d787814e678f2da77b0100160f,15,KHXS20170522001003,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
85,2017/05/22 15:32:23,f2a02976f0504d5495c9a77b0100160f,15,KHXS20170522001003,Article,30317,机油7千,,,,0,,280,1,100,280,0,,0,1,91371100MA3DDG6A9X
86,2017/05/22 15:32:41,6b8481cdbf2242c3af48a77b01002baa,13,KHXS20170522001001,Article,30327,制冷剂,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
87,2017/05/22 15:32:41,c9b688bc26c0482d8787a77b01002baa,13,KHXS20170522001001,Article,30329,耐可力,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
88,2017/05/22 15:32:53,3f6b28ebd9a84a1cb1d9a77b0100393d,9,KHXS20170520001002,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
89,2017/05/22 15:32:53,69389514d5fc4f679599a77b0100393d,9,KHXS20170520001002,Article,30325,火花塞,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
90,2017/05/22 15:32:53,0fdc48932fd64144a96fa77b0100393d,9,KHXS20170520001002,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
91,2017/05/22 15:32:53,9459404e80a247ec9e90a77b0100393d,9,KHXS20170520001002,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
92,2017/05/22 15:33:03,f1aaadee7b7c47f3a007a77b01004534,17,KHXS20170522001005,Article,30332,防冻液,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
93,2017/05/22 15:33:03,34db08cbd5b04618930aa77b01004534,17,KHXS20170522001005,Article,30335,发动机支架,,,,0,,300,1,100,300,0,,0,1,91371100MA3DDG6A9X
94,2017/05/22 15:33:03,eed65c7b425d42c7b0eba77b01004534,17,KHXS20170522001005,Article,30334,球龙套,,,,0,,110,1,100,110,0,,0,1,91371100MA3DDG6A9X
95,2017/05/22 15:33:03,4c4268b3602a47ebb23ba77b01004534,17,KHXS20170522001005,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
96,2017/05/22 15:33:03,d0df6cc6267f41ae9445a77b01004534,17,KHXS20170522001005,Article,30333,正时皮带组件,,,,0,,800,1,100,800,0,,0,1,91371100MA3DDG6A9X
97,2017/05/22 15:33:03,3c5419ecc8944d24b5f4a77b01004534,17,KHXS20170522001005,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
98,2017/05/22 15:33:03,563d56e74958478e9b48a77b01004534,17,KHXS20170522001005,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
99,2017/05/22 15:33:03,cafd5a66274f44628c22a77b01004534,17,KHXS20170522001005,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
100,2017/05/22 15:33:24,bd31f2088efe4e4e9beea77b01005db5,14,KHXS20170522001002,Article,30330,机油,,,,0,,430,1,100,430,0,,0,1,91371100MA3DDG6A9X
101,2017/05/22 15:33:24,5f68f8f5fe4d49319be5a77b01005db5,14,KHXS20170522001002,Article,30331,机滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
102,2017/05/22 15:40:27,69b7c1d50cd941fca97ca77b01024cf2,19,KHXS20170522001007,Article,30312,机油,,,,0,,220,-1,100,-220,0,,0,1,91371100MA3DDG6A9X
103,2017/05/22 15:40:27,5c9091d2046c44b0b980a77b01024cf2,19,KHXS20170522001007,Article,30313,机滤,,,,0,,20,-1,100,-20,0,,0,1,91371100MA3DDG6A9X
104,2017/05/22 15:40:27,4f9fd592b1874ba3b811a77b01024cf2,19,KHXS20170522001007,Article,30314,空滤,,,,0,,40,-1,100,-40,0,,0,1,91371100MA3DDG6A9X
105,2017/05/22 15:40:27,f4bae60cbb9b4206b6fda77b01024cf2,19,KHXS20170522001007,Article,30316,空调滤,,,,0,,60,-1,100,-60,0,,0,1,91371100MA3DDG6A9X
106,2017/05/22 15:40:31,c3066e0c5445417cbeeda77b01025236,20,KHXS20170522001008,Article,30312,机油,,,,0,,220,-1,100,-220,0,,0,1,91371100MA3DDG6A9X
107,2017/05/22 15:40:31,db6bd0a6fe0449308026a77b01025236,20,KHXS20170522001008,Article,30313,机滤,,,,0,,20,-1,100,-20,0,,0,1,91371100MA3DDG6A9X
108,2017/05/22 15:40:31,8eaf0da45c5649ff900da77b01025236,20,KHXS20170522001008,Article,30314,空滤,,,,0,,40,-1,100,-40,0,,0,1,91371100MA3DDG6A9X
109,2017/05/22 15:40:31,f5ebb596743c4b7f94a8a77b01025236,20,KHXS20170522001008,Article,30316,空调滤,,,,0,,60,-1,100,-60,0,,0,1,91371100MA3DDG6A9X
110,2017/05/22 15:40:45,469548cc801f4a3cbc50a77b01026253,21,KHXS20170522001009,Article,30312,机油,,,,0,,220,-1,100,-220,0,,0,1,91371100MA3DDG6A9X
111,2017/05/22 15:40:45,bb7144ed311b48028f92a77b01026253,21,KHXS20170522001009,Article,30313,机滤,,,,0,,20,-1,100,-20,0,,0,1,91371100MA3DDG6A9X
112,2017/05/22 15:40:45,e9c69740980a4ed09ca2a77b01026253,21,KHXS20170522001009,Article,30316,空调滤,,,,0,,60,-1,100,-60,0,,0,1,91371100MA3DDG6A9X
113,2017/05/22 15:40:45,13447a69daf14ffdae50a77b01026253,21,KHXS20170522001009,Article,30314,空滤,,,,0,,40,-1,100,-40,0,,0,1,91371100MA3DDG6A9X
